variantId,model,ram,storage,saleMode,rrp,netPrice,startDate,endDate,sourceFileDisplayName,sourceSheet,archiveReason
RET-19 -27-R35-SF_PLUS,"Galaxy A37 5G
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,8/256GB,SF_PLUS,13999.0,13999.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R35-STUDENT,"Galaxy A37 5G
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,8/256GB,STUDENT,13999.0,13439.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R36-SF_PLUS,"Galaxy A27 5G
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,8/128GB,SF_PLUS,10999.0,9999.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R37-SF_PLUS,"Galaxy A17 5G
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,8/256GB,SF_PLUS,10599.0,8999.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R37-STUDENT,"Galaxy A17 5G
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,8/256GB,STUDENT,10599.0,9539.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R37-FLASHSALE,"Galaxy A17 5G
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,8/256GB,STANDARD_PAYMENT,10599.0,8999.0,2026-08-27,2026-08-30,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R38-SF_PLUS,"Galaxy A17 5G
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,8/128GB,SF_PLUS,8999.0,7499.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R39-SF_PLUS,"Galaxy A17 LTE
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,8/128GB,SF_PLUS,7999.0,6999.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R40-STUDENT,"Galaxy A07 5G
(SF+ campaign)",N/A,6/128GB,STUDENT,6999.0,6299.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R41-STANDARD_PAYMENT,"Galaxy A07 5G
(ไม่ร่วม SF+)",N/A,6/128GB,STANDARD_PAYMENT,6999.0,6499.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R41-STUDENT,"Galaxy A07 5G
(ไม่ร่วม SF+)",N/A,6/128GB,STUDENT,6999.0,6299.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R42-SF_PLUS,"Galaxy A07 LTE
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,6/128GB,SF_PLUS,5999.0,4999.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R43-SF_PLUS,"Galaxy A07 LTE
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,4/128GB,SF_PLUS,5299.0,4299.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET-19 -27-R44-SF_PLUS,"Galaxy A07 LTE
(ตั้งแต่ 17 สิงหาคม - 6 กันยายน 69)",N/A,4/64GB,SF_PLUS,4599.0,3799.0,2026-08-19,2026-08-27,Promotion Retail Aug 2026.xlsx,19 -27  Aug,Expired campaign (19 -27  Aug)
RET- 17-18-R4-SF_PLUS,Galaxy S26 Ultra,N/A,1TB,SF_PLUS,66900.0,61900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R4-TRADEUP,Galaxy S26 Ultra,N/A,1TB,TRADE_UP,66900.0,56900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R4-FLASHSALE,Galaxy S26 Ultra,N/A,1TB,STANDARD_PAYMENT,66900.0,58900.0,2026-08-27,2026-08-30,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R5-SF_PLUS,Galaxy S26 Ultra,N/A,512GB,SF_PLUS,54900.0,49900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R5-TRADEUP,Galaxy S26 Ultra,N/A,512GB,TRADE_UP,54900.0,44900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R5-STUDENT,Galaxy S26 Ultra,N/A,512GB,STUDENT,54900.0,46665.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R5-FLASHSALE,Galaxy S26 Ultra,N/A,512GB,STANDARD_PAYMENT,54900.0,46900.0,2026-08-27,2026-08-30,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
