promoId,model,pn,productCodeType,saleMode,validationStatus,validationErrors,sourceFile,sourceSheet,sourceRow
ACC-ERR-R117,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,117
ACC-ERR-R118,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,118
ACC-ERR-R119,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,119
ACC-ERR-R120,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,120
ACC-ERR-R121,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,121
ACC-ERR-R122,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,122
ACC-ERR-R123,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,123
ACC-ERR-R124,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,124
ACC-ERR-R125,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,125
ACC-ERR-R126,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,126
ACC-ERR-R127,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,127
ACC-ERR-R128,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,128
ACC-ERR-R129,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,129
ACC-ERR-R130,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,130
ACC-ERR-R131,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,131
ACC-ERR-R132,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,132
ACC-ERR-R133,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,133
ACC-ERR-R134,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,134
ACC-ERR-R135,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,135
ACC-ERR-R136,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,136
ACC-ERR-R137,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,137
ACC-ERR-R138,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,138
ACC-ERR-R139,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,139
ACC-ERR-R140,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,140
ACC-ERR-R141,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,141
ACC-ERR-R142,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,142
ACC-ERR-R143,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,143
ACC-ERR-R144,,,STANDARD_ACCESSORY,STANDARD_PAYMENT,BLOCKED_INVALID,FORMULA_ERROR_DETECTED,Pro Tablet Acc samsung 3Aug2026.xlsx,โปร และ เงื่อนไขการตัดขาย,144
PREM-2025-R6,,Premium Wireless Speaker EP-20 Black  มูลค่า  199,STANDARD_SM,STANDARD_PAYMENT,VALID_HISTORICAL_RECORD,HISTORICAL_EXPIRED_2025_GIFT,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,Promotion Premium Q2.2026,6
PREM-2025-R8,,Premium D-power Selfie Stick-SF03 มูลค่า 399,STANDARD_SM,STANDARD_PAYMENT,VALID_HISTORICAL_RECORD,HISTORICAL_EXPIRED_2025_GIFT,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,Promotion Premium Q2.2026,8
PREM-2025-R13,,Premium Wireless Home bluetooth  Speaker Little  มูลค่า 699,STANDARD_SM,STANDARD_PAYMENT,VALID_HISTORICAL_RECORD,HISTORICAL_EXPIRED_2025_GIFT,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,Promotion Premium Q2.2026,13
PREM-2025-R20,,"Premium  D-Power HP-33
(Wireless 
Headphone) มูลค่า 799",STANDARD_SM,STANDARD_PAYMENT,VALID_HISTORICAL_RECORD,HISTORICAL_EXPIRED_2025_GIFT,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,Promotion Premium Q2.2026,20
PREM-2025-R21,,"[PM]Jisulife FA55 Handheld Fan Ultra1 - Brown  มูลค่า 1,890",STANDARD_SM,STANDARD_PAYMENT,VALID_HISTORICAL_RECORD,HISTORICAL_EXPIRED_2025_GIFT,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,Promotion Premium Q2.2026,21
PREM-2025-R29,,"[PM]Jisulife FA55 Handheld Fan Ultra1 - Brown  มูลค่า 1,890",STANDARD_SM,STANDARD_PAYMENT,VALID_HISTORICAL_RECORD,HISTORICAL_EXPIRED_2025_GIFT,Aug_ 2026 Promotion Retail_Shop Samsung .xlsx,Promotion Premium Q2.2026,29
