Variant ID,P/N,Model,Source Formula Col E,Source Formula Col G,Cached Value Col E,Cached Value Col G,Displayed Value,Error Type,Net Price,Price Display Text,Status,Error Code
ACC-ERR-R128,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R129,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R130,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R131,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R132,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R133,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R134,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R135,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R136,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R137,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R138,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R139,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R140,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R141,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R142,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R143,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
ACC-ERR-R144,-,,Col E: #ERROR! | Col G: #ERROR!,-,#ERROR!,-,#ERROR!,FORMULA_CALCULATION_FAILURE,None,ไม่สามารถยืนยันราคาโปร,BLOCKED_INVALID,SOURCE_FORMULA_ERROR
