variantId,model,P/N Masked,productCodeType,saleMode,errorCode,errorExplanation,sourceFileDisplayName,sourceSheet,sourceRow,rawTextExcerpt,requiredAction
TAB-R32-STANDARD_PAYMENT,Watch9 40mm,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,32,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R33-STANDARD_PAYMENT,Watch8 44mm,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,33,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R34-STANDARD_PAYMENT,Watch8 40mm,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,34,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R35-STANDARD_PAYMENT,Buds4 Pro Black,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,35,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R36-STANDARD_PAYMENT,Buds4 Pro White,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,36,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R37-STANDARD_PAYMENT,Buds4 Pro Pink,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,37,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R38-STANDARD_PAYMENT,Buds4  Black,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,38,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R39-STANDARD_PAYMENT,Buds4  White,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,39,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R40-STANDARD_PAYMENT,Buds3 FE,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,40,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R42-STANDARD_PAYMENT,Ring,N/A,STANDARD_SM,STANDARD_PAYMENT,PRICE_EQUATION_MISMATCH,Quarantined by Rule Engine: PRICE_EQUATION_MISMATCH. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,42,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R44-STANDARD_PAYMENT,SmartTag2,N/A,STANDARD_SM,STANDARD_PAYMENT,MISSING_NET_PRICE,Quarantined by Rule Engine: MISSING_NET_PRICE. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,44,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R45-STANDARD_PAYMENT,Flip7 / Fold7,N/A,STANDARD_SM,STANDARD_PAYMENT,MISSING_RRP,Quarantined by Rule Engine: MISSING_RRP. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,45,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
TAB-R46-STANDARD_PAYMENT,S25 / S25+,N/A,STANDARD_SM,STANDARD_PAYMENT,MISSING_RRP,Quarantined by Rule Engine: MISSING_RRP. Strictly prohibited from retail sale.,Promotion Tablet Sep 2026.xlsx,โปร และ เงื่อนไขการตัดขาย,46,,Verify formula in source Excel workbook or wait for branch supervisor confirmation
