variantId,model,ram,storage,connectivity,productCodeType,saleMode,rrp,standardDiscount,sfPlusDiscount,studentDiscount,tradeUpDiscount,netPrice,priceCoupon,studentCoupon,tradeUpCode,sfPlusEligible,tradeUpEligible,studentEligible,startDate,endDate,sourceBadge,sourceFileDisplayName,sourceSheet,sourceRow,headerPath,validationStatus
RET-อัพเดท-R22-TRADEUP,Galaxy Z Fold8,N/A,512GB,Standard,STANDARD_SM,TRADE_UP,69900.0,0,0,0,5000.0,64900.0,,,T-UP-CO-S,YES,YES,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,22,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > tradeUpDiscount:TRADE_UP > ส่วนลดเทรดอัพ (Trade Up Discount) > tradeUpCode:TRADE_UP > รหัสการชำระ (Payment Code: T-UP-CO-S) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R23-TRADEUP,Galaxy Z Fold8,N/A,256GB,Standard,STANDARD_SM,TRADE_UP,61900.0,0,0,0,5000.0,56900.0,,,T-UP-CO-S,YES,YES,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,23,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > tradeUpDiscount:TRADE_UP > ส่วนลดเทรดอัพ (Trade Up Discount) > tradeUpCode:TRADE_UP > รหัสการชำระ (Payment Code: T-UP-CO-S) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R26-SF_PLUS,Galaxy Z Fold 7,N/A,1TB,Standard,STANDARD_SM,SF_PLUS,87900.0,0,18000.0,0,0,69900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,26,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R27-SF_PLUS,Galaxy Z Fold 7,N/A,512GB,Standard,STANDARD_SM,SF_PLUS,75900.0,0,18000.0,0,0,57900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,27,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R28-SF_PLUS,Galaxy Z Fold 7,N/A,256GB,Standard,STANDARD_SM,SF_PLUS,67900.0,0,18000.0,0,0,49900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,28,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R29-SF_PLUS,Galaxy Z Flip7,N/A,512GB,Standard,STANDARD_SM,SF_PLUS,48900.0,0,11000.0,0,0,37900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,29,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R30-SF_PLUS,Galaxy Z Flip7,N/A,256GB,Standard,STANDARD_SM,SF_PLUS,40900.0,0,11000.0,0,0,29900.0,01,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,30,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R31-SF_PLUS,Galaxy A57 5G,N/A,12/512GB,5G,STANDARD_SM,SF_PLUS,20999.0,0,0,0,0,20999.0,,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,31,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
RET-อัพเดท-R31-STUDENT,Galaxy A57 5G,N/A,12/512GB,5G,STANDARD_SM,STUDENT,20999.0,0,0,2520,0,18479.0,Studentcrd,Studentcrd,,NO,NO,YES,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,31,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > studentRate:STUDENT > อัตราส่วนลด (Student Discount Rate),WARNING
RET-อัพเดท-R32-SF_PLUS,Galaxy A57 5G,N/A,12/256GB,5G,STANDARD_SM,SF_PLUS,17999.0,0,0,0,0,17999.0,,,,YES,NO,NO,2026-08-28,2026-09-06,EXCEL_CONFIRMED,Promotion Retail Aug 2026.xlsx,อัพเดท 28 Aug - 6 Sep ล่าสุด,32,rrp:STANDARD_PAYMENT > ราคาปกติ (RRP) > discount:STANDARD_PAYMENT > ส่วนลด (Standard Discount) > netPrice:FINAL_NET > ราคาหลังลดและเทรดอัพ (Net Price),WARNING
